Pressure,Q1,Q2,Q3,Q4
2000,1.9994215153806818,0.2303267661231639,335.4754615905974,0.27084034160636544
2100,1.7050179425733516,0.212782833425278,339.1133344121493,0.2582588457081051
2200,1.5585727220548877,0.203395925929794,342.1153690592216,0.25323914494393324
2300,1.357199564932285,0.18981642548777744,345.5263860009581,0.2445285909860453
2400,1.1028812341508092,0.1711938313266848,349.3781921247897,0.23137889852280505
2500,1.0844160500578783,0.16962198573781492,351.88609186897867,0.2331472511035157
2600,0.7609578751896483,0.1421977251845923,356.76653788823074,0.21299692886366536
2700,0.7587231058504108,0.14188724856458404,359.2458603536922,0.21543094452500253
2800,0.5303735112002974,0.11868833600967382,363.94811037004234,0.19863668098744575
2900,0.4336022991612461,0.10729627248875288,367.66003890090224,0.19158096550240294
3000,0.30710109236801103,0.09031735944955446,371.9910559071013,0.17930132860406586
3100,0.16523421483250106,0.06627843275559518,377.3903759403199,0.16011458637843862
3200,0.31690209890514975,0.09161385420358704,377.28508179685645,0.1850489908709487
3300,0.2843659649417458,0.0867627341917022,380.43049288100707,0.1827085586886301
3400,0.06022692906669142,0.03998966807964148,389.4307466344589,0.139486180964626
3500,0.0639405106929324,0.04117806613288581,392.1680834203616,0.14249520695463236
