Pressure,E1,E2,E3,E4,E5
2000,2562536.8121395377,-38946.99503343708,229.23265669420329,-0.6027835491445063,0.000600241590362855
2100,2032170.8747196202,-30708.90300009034,181.1435572303241,-0.4776878042662001,0.0004777518169577167
2200,1618058.2686940508,-24259.936102665266,143.39497755388155,-0.37919941057051776,0.0003809888335751339
2300,1286049.1978537966,-19077.277387685455,112.98325372354918,-0.29964310863600174,0.00030259197327323046
2400,1060056.2355357977,-15524.420895215015,91.97240519802537,-0.2442063602104748,0.0002474285944455865
2500,835359.0175320737,-12021.19784385216,71.4271124255412,-0.1904476084851587,0.0001943751324038122
2600,648517.375842865,-9111.988333742249,54.382019028024644,-0.14587192228464166,0.00015037836201787632
2700,515320.2757422921,-7017.498230577708,41.98530352483227,-0.11310933574179974,0.0001176709874965747
2800,424683.12105769874,-5576.81107544836,33.359264423868,-0.09002726520229756,9.4304507516407e-05
2900,371450.60828863474,-4708.586695755064,28.024001782905575,-0.07536982531320009,7.904782200704333e-05
3000,324950.7536665839,-3950.4742612734394,23.36654571762035,-0.06257501078106745,6.572183181971244e-05
3100,265105.8850245092,-3004.2433863301253,17.725907983097688,-0.04753109935134848,5.050862397328672e-05
3200,217950.24970187875,-2258.9385637998816,13.280790700963,-0.0356570344576035,3.845864999184055e-05
3300,175909.29460815794,-1594.0054898364806,9.312556577817778,-0.02505076777548199,2.7685543987258004e-05
3400,150181.49658404524,-1177.767808052923,6.768461424605542,-0.018077601433389722,2.040023931207095e-05
3500,142823.08413285043,-1045.5730123594471,5.8726838774295835,-0.015360922985956878,1.724520511351154e-05
